name,num_qubits,width,depth,num_cnot,num_t,num_2qbit,num_3qbit
qwalk-noancilla_indep_qiskit_13.qasm,13,26,98132,49062,0,98028,6
su2random_indep_qiskit_54.qasm,54,108,218,4293,0,4293,0
qpeexact_indep_qiskit_54.qasm,54,107,161,0,0,1457,0
ghz_indep_qiskit_100.qasm,100,200,101,99,0,99,0
wstate_indep_qiskit_26.qasm,26,52,53,25,0,50,0
graphstate_indep_qiskit_30.qasm,30,60,9,0,0,30,0
random_indep_qiskit_100.qasm,100,200,1336,6413,318,11675,657
graphstate_indep_qiskit_120.qasm,120,240,9,0,0,120,0
qnn_indep_qiskit_8.qasm,8,16,75,119,0,119,0
twolocalrandom_indep_qiskit_128.qasm,128,256,514,24384,0,24384,0
twolocalrandom_indep_qiskit_27.qasm,27,54,110,1053,0,1053,0
ghz_indep_qiskit_81.qasm,81,162,82,80,0,80,0
qaoa_indep_qiskit_6.qasm,6,12,9,0,0,12,0
graphstate_indep_qiskit_88.qasm,88,176,7,0,0,88,0
qftentangled_indep_qiskit_85.qasm,85,170,173,84,0,3696,0
wstate_indep_qiskit_112.qasm,112,224,225,111,0,222,0
qft_indep_qiskit_116.qasm,116,348,233,0,0,6728,0
ae_indep_qiskit_118.qasm,118,236,702,234,0,7020,0
wstate_indep_qiskit_71.qasm,71,142,143,70,0,140,0
graphstate_indep_qiskit_67.qasm,67,134,8,0,0,67,0
ae_indep_qiskit_53.qasm,53,106,312,104,0,1430,0
qftentangled_indep_qiskit_112.qasm,112,224,227,111,0,6383,0
ghz_indep_qiskit_39.qasm,39,78,40,38,0,38,0
shor_15_4_indep_qiskit_18.qasm,18,36,6214,2048,0,8160,32
twolocalrandom_indep_qiskit_70.qasm,70,140,282,7245,0,7245,0
qnn_indep_qiskit_84.qasm,84,168,835,14027,0,14027,0
ghz_indep_qiskit_9.qasm,9,18,10,8,0,8,0
wstate_indep_qiskit_104.qasm,104,208,209,103,0,206,0
portfoliovqe_indep_qiskit_8.qasm,8,16,34,0,0,84,0
qftentangled_indep_qiskit_93.qasm,93,186,189,92,0,4416,0
vqe_indep_qiskit_11.qasm,11,22,16,20,0,20,0
su2random_indep_qiskit_15.qasm,15,30,62,315,0,315,0
qpeexact_indep_qiskit_15.qasm,15,29,44,0,0,112,0
qpeexact_indep_qiskit_127.qasm,127,253,380,0,0,8064,0
wstate_indep_qiskit_88.qasm,88,176,177,87,0,174,0
ae_indep_qiskit_45.qasm,45,90,264,88,0,1034,0
graphstate_indep_qiskit_71.qasm,71,142,9,0,0,71,0
wstate_indep_qiskit_67.qasm,67,134,135,66,0,132,0
qpeinexact_indep_qiskit_48.qasm,48,95,143,0,0,1151,0
qft_indep_qiskit_100.qasm,100,300,201,0,0,5000,0
qnn_indep_qiskit_123.qasm,123,246,1225,30134,0,30134,0
twolocalrandom_indep_qiskit_89.qasm,89,178,358,11748,0,11748,0
twolocalrandom_indep_qiskit_3.qasm,3,6,14,9,0,9,1
su2random_indep_qiskit_108.qasm,108,216,434,17334,0,17334,0
qftentangled_indep_qiskit_104.qasm,104,208,211,103,0,5511,0
qnn_indep_qiskit_92.qasm,92,184,915,16835,0,16835,0
